t,rainfall,action_s,action_e,action_h,action_p,flood_depth,flow,displaced,vulnerable,infected,contamination,healthcare,damage,failures,econ_loss,deaths,shelter_pressure,sanitation,personnel
68,0.2868357528359292,1.0,0.0,1.0,0.0,0.0,0.0,48.041860328713064,0.0,0.912993861864966,656.7061320323335,0.0,12.466273102385493,0.0,600.1189683830839,4093.2092846191713,1670.9868931359265,4.9999974891593055,0.0
69,0.1669633870600047,1.0,0.0,0.0,0.0,0.22946860226874338,0.0,46.013252124401745,0.05,0.09129938618649658,674.6278938055634,0.7825987723729932,12.466273102385493,7.479763861431295,614.9877478483403,4265.477357510381,1719.0287534646395,4.999997991327445,0.0
70,0.215897929836241,1.0,0.0,1.0,0.0,0.0,0.0,49.015905039172715,0.0,2.3753081012102024,693.9593722381829,0.0,12.55806054329299,0.0,632.1962028746033,4442.047938595318,1765.0420055890413,4.999998393061956,0.0
71,0.1566273601349715,1.0,0.0,0.0,0.0,0.17271834386899282,0.0,46.84756035731397,0.05,0.2375308101210205,712.2958325072632,1.0750616202420404,12.55806054329299,7.534836325975794,647.735200530118,4624.403852898623,1814.0579106282141,4.999998714449565,0.0
72,0.19808911791869424,1.0,0.0,1.0,0.0,0.0,0.0,49.73741741373384,0.0,1.9331569628604799,731.9885536948667,0.0,12.627147880840587,0.0,665.2131305923247,4810.574731378045,1860.9054709855282,4.999998971559652,0.0
73,0.06879960339531935,1.0,0.0,0.0,0.0,0.1584712943349554,0.0,47.46622265949142,0.05,0.19331569628604783,750.6757623346316,0.986631392572096,12.627147880840587,7.576288728504352,680.7914203162658,5002.412283003116,1910.642888399262,4.999999177247721,0.0
74,0.19661100325964623,1.0,0.0,1.0,0.0,0.0,0.0,50.290122869801074,0.0,1.8640378627945398,770.6499649472926,0.0,12.690536398574569,0.0,698.4240342007879,5198.293811682371,1958.1091110587533,4.999999341798177,0.0
75,0.17177970407130894,1.0,0.0,0.0,0.0,0.157288802607717,0.0,47.9464201349856,0.05,0.1864037862794541,789.5889126227886,0.9728075725589079,12.690536398574569,7.614321839144741,714.1174846930163,5399.879350220344,2008.3992339285544,4.999999473438542,0.0
76,0.2178941271155627,1.0,0.0,1.0,0.0,0.0,0.0,50.734424332184695,0.0,1.9410773014993306,809.7836061720129,0.0,12.753451919617655,0.0,731.884633150985,5605.58316800822,2056.3456540635398,4.999999578750833,0.0
77,0.14796848701618456,1.0,0.0,0.0,0.0,0.17431530169245016,0.0,48.339610617518346,0.05,0.194107730149933,828.9149875852249,0.9882154602998661,12.753451919617655,7.652071151770593,747.7152219757188,5817.067606768393,2107.0800783957243,4.999999663000667,0.0
78,2.9698410740593486,1.0,0.0,1.0,0.0,0.0,0.0,51.11959151786309,0.0,2.247182513462991,849.295914968945,0.0,12.823178040294636,0.0,765.6035856468228,6032.683490378939,2155.4196890132425,4.999999730400534,0.0
79,0.14101173901248323,1.0,0.0,0.0,0.0,2.375872859247479,0.0,48.689580038467255,0.05,0.22471825134629908,868.5794646254443,1.0494365026925982,12.823178040294636,7.693906824176781,781.6309299205521,6254.236291437434,2206.5392805311058,4.999999784320427,0.0
80,0.14101173901248323,1.0,0.0,0.0,0.0,0.0,0.0,52.78743866500514,0.0,31.040131337075792,890.2152376622134,0.0,13.773527183993627,0.0,799.643095349438,6480.27821158588,2255.228860569573,4.9999998274563415,0.0
